image,mask
images/006_tile_1120_4480.tif,labels/006_tile_1120_4480.tif
images/006_tile_1344_2240.tif,labels/006_tile_1344_2240.tif
images/006_tile_1344_2464.tif,labels/006_tile_1344_2464.tif
images/006_tile_1792_3136.tif,labels/006_tile_1792_3136.tif
images/006_tile_2688_2240.tif,labels/006_tile_2688_2240.tif
images/006_tile_2688_3584.tif,labels/006_tile_2688_3584.tif
images/006_tile_2688_4032.tif,labels/006_tile_2688_4032.tif
images/006_tile_3360_2240.tif,labels/006_tile_3360_2240.tif
images/006_tile_3584_4032.tif,labels/006_tile_3584_4032.tif
images/006_tile_3808_4256.tif,labels/006_tile_3808_4256.tif
images/006_tile_4480_1568.tif,labels/006_tile_4480_1568.tif
images/006_tile_4480_3808.tif,labels/006_tile_4480_3808.tif
images/006_tile_448_3360.tif,labels/006_tile_448_3360.tif
images/006_tile_4928_2016.tif,labels/006_tile_4928_2016.tif
images/006_tile_5152_2688.tif,labels/006_tile_5152_2688.tif
images/006_tile_896_1120.tif,labels/006_tile_896_1120.tif
images/007_tile_1344_3136.tif,labels/007_tile_1344_3136.tif
images/007_tile_1792_1792.tif,labels/007_tile_1792_1792.tif
images/007_tile_2240_2464.tif,labels/007_tile_2240_2464.tif
images/007_tile_2912_224.tif,labels/007_tile_2912_224.tif
images/007_tile_2912_4704.tif,labels/007_tile_2912_4704.tif
images/007_tile_3584_1344.tif,labels/007_tile_3584_1344.tif
images/007_tile_3808_2240.tif,labels/007_tile_3808_2240.tif
images/007_tile_3808_4032.tif,labels/007_tile_3808_4032.tif
images/007_tile_4032_2464.tif,labels/007_tile_4032_2464.tif
images/007_tile_4256_2912.tif,labels/007_tile_4256_2912.tif
images/007_tile_4928_1792.tif,labels/007_tile_4928_1792.tif
images/007_tile_4928_2688.tif,labels/007_tile_4928_2688.tif
images/007_tile_5152_2016.tif,labels/007_tile_5152_2016.tif
images/007_tile_896_3360.tif,labels/007_tile_896_3360.tif
