image,mask
images/000_transparent_reflectance_tile_1120_4256.tif,labels/000_transparent_reflectance_tile_1120_4256.tif
images/000_transparent_reflectance_tile_1344_3584.tif,labels/000_transparent_reflectance_tile_1344_3584.tif
images/000_transparent_reflectance_tile_1344_4704.tif,labels/000_transparent_reflectance_tile_1344_4704.tif
images/000_transparent_reflectance_tile_1568_4704.tif,labels/000_transparent_reflectance_tile_1568_4704.tif
images/000_transparent_reflectance_tile_1792_4256.tif,labels/000_transparent_reflectance_tile_1792_4256.tif
images/000_transparent_reflectance_tile_2016_3808.tif,labels/000_transparent_reflectance_tile_2016_3808.tif
images/000_transparent_reflectance_tile_2464_4704.tif,labels/000_transparent_reflectance_tile_2464_4704.tif
images/000_transparent_reflectance_tile_2688_2464.tif,labels/000_transparent_reflectance_tile_2688_2464.tif
images/000_transparent_reflectance_tile_3136_2912.tif,labels/000_transparent_reflectance_tile_3136_2912.tif
images/000_transparent_reflectance_tile_3136_3136.tif,labels/000_transparent_reflectance_tile_3136_3136.tif
images/000_transparent_reflectance_tile_3808_1120.tif,labels/000_transparent_reflectance_tile_3808_1120.tif
images/000_transparent_reflectance_tile_3808_672.tif,labels/000_transparent_reflectance_tile_3808_672.tif
images/000_transparent_reflectance_tile_4480_1792.tif,labels/000_transparent_reflectance_tile_4480_1792.tif
images/000_transparent_reflectance_tile_5152_2016.tif,labels/000_transparent_reflectance_tile_5152_2016.tif
images/000_transparent_reflectance_tile_672_5152.tif,labels/000_transparent_reflectance_tile_672_5152.tif
images/001_transparent_reflectance_tile_1120_4480.tif,labels/001_transparent_reflectance_tile_1120_4480.tif
images/001_transparent_reflectance_tile_1568_2240.tif,labels/001_transparent_reflectance_tile_1568_2240.tif
images/001_transparent_reflectance_tile_2240_2688.tif,labels/001_transparent_reflectance_tile_2240_2688.tif
images/001_transparent_reflectance_tile_2912_2912.tif,labels/001_transparent_reflectance_tile_2912_2912.tif
images/001_transparent_reflectance_tile_3136_2912.tif,labels/001_transparent_reflectance_tile_3136_2912.tif
images/001_transparent_reflectance_tile_4032_1344.tif,labels/001_transparent_reflectance_tile_4032_1344.tif
images/001_transparent_reflectance_tile_4032_896.tif,labels/001_transparent_reflectance_tile_4032_896.tif
images/001_transparent_reflectance_tile_4256_1120.tif,labels/001_transparent_reflectance_tile_4256_1120.tif
images/002_transparent_reflectance_tile_1792_5600.tif,labels/002_transparent_reflectance_tile_1792_5600.tif
images/002_transparent_reflectance_tile_2464_4032.tif,labels/002_transparent_reflectance_tile_2464_4032.tif
images/002_transparent_reflectance_tile_3136_5152.tif,labels/002_transparent_reflectance_tile_3136_5152.tif
images/002_transparent_reflectance_tile_4256_2912.tif,labels/002_transparent_reflectance_tile_4256_2912.tif
images/002_transparent_reflectance_tile_4480_2912.tif,labels/002_transparent_reflectance_tile_4480_2912.tif
images/002_transparent_reflectance_tile_4704_1344.tif,labels/002_transparent_reflectance_tile_4704_1344.tif
images/002_transparent_reflectance_tile_5376_1344.tif,labels/002_transparent_reflectance_tile_5376_1344.tif
images/002_transparent_reflectance_tile_5824_1792.tif,labels/002_transparent_reflectance_tile_5824_1792.tif
images/004_transparent_reflectance_tile_1120_2688.tif,labels/004_transparent_reflectance_tile_1120_2688.tif
images/004_transparent_reflectance_tile_2240_2016.tif,labels/004_transparent_reflectance_tile_2240_2016.tif
images/004_transparent_reflectance_tile_3360_2240.tif,labels/004_transparent_reflectance_tile_3360_2240.tif
images/004_transparent_reflectance_tile_3584_1344.tif,labels/004_transparent_reflectance_tile_3584_1344.tif
images/004_transparent_reflectance_tile_4032_1792.tif,labels/004_transparent_reflectance_tile_4032_1792.tif
