image,mask
images/006_tile_1120_1120.tif,labels/006_tile_1120_1120.tif
images/006_tile_1120_1344.tif,labels/006_tile_1120_1344.tif
images/006_tile_1120_1568.tif,labels/006_tile_1120_1568.tif
images/006_tile_1120_1792.tif,labels/006_tile_1120_1792.tif
images/006_tile_1120_2464.tif,labels/006_tile_1120_2464.tif
images/006_tile_1120_2912.tif,labels/006_tile_1120_2912.tif
images/006_tile_1120_3360.tif,labels/006_tile_1120_3360.tif
images/006_tile_1120_3584.tif,labels/006_tile_1120_3584.tif
images/006_tile_1120_4480.tif,labels/006_tile_1120_4480.tif
images/006_tile_1120_4704.tif,labels/006_tile_1120_4704.tif
images/006_tile_1344_1344.tif,labels/006_tile_1344_1344.tif
images/006_tile_1344_1568.tif,labels/006_tile_1344_1568.tif
images/006_tile_1344_1792.tif,labels/006_tile_1344_1792.tif
images/006_tile_1344_2016.tif,labels/006_tile_1344_2016.tif
images/006_tile_1344_2240.tif,labels/006_tile_1344_2240.tif
images/006_tile_1344_2464.tif,labels/006_tile_1344_2464.tif
images/006_tile_1344_3136.tif,labels/006_tile_1344_3136.tif
images/006_tile_1344_3360.tif,labels/006_tile_1344_3360.tif
images/006_tile_1344_3584.tif,labels/006_tile_1344_3584.tif
images/006_tile_1344_3808.tif,labels/006_tile_1344_3808.tif
images/006_tile_1344_4032.tif,labels/006_tile_1344_4032.tif
images/006_tile_1344_4256.tif,labels/006_tile_1344_4256.tif
images/006_tile_1344_4704.tif,labels/006_tile_1344_4704.tif
images/006_tile_1568_1120.tif,labels/006_tile_1568_1120.tif
images/006_tile_1568_2016.tif,labels/006_tile_1568_2016.tif
images/006_tile_1568_2240.tif,labels/006_tile_1568_2240.tif
images/006_tile_1568_2464.tif,labels/006_tile_1568_2464.tif
images/006_tile_1568_2688.tif,labels/006_tile_1568_2688.tif
images/006_tile_1568_2912.tif,labels/006_tile_1568_2912.tif
images/006_tile_1568_3136.tif,labels/006_tile_1568_3136.tif
images/006_tile_1568_3808.tif,labels/006_tile_1568_3808.tif
images/006_tile_1568_4256.tif,labels/006_tile_1568_4256.tif
images/006_tile_1568_4480.tif,labels/006_tile_1568_4480.tif
images/006_tile_1568_4704.tif,labels/006_tile_1568_4704.tif
images/006_tile_1792_1120.tif,labels/006_tile_1792_1120.tif
images/006_tile_1792_1568.tif,labels/006_tile_1792_1568.tif
images/006_tile_1792_1792.tif,labels/006_tile_1792_1792.tif
images/006_tile_1792_2688.tif,labels/006_tile_1792_2688.tif
images/006_tile_1792_2912.tif,labels/006_tile_1792_2912.tif
images/006_tile_1792_3136.tif,labels/006_tile_1792_3136.tif
images/006_tile_1792_3360.tif,labels/006_tile_1792_3360.tif
images/006_tile_1792_4032.tif,labels/006_tile_1792_4032.tif
images/006_tile_1792_4480.tif,labels/006_tile_1792_4480.tif
images/006_tile_1792_896.tif,labels/006_tile_1792_896.tif
images/006_tile_2016_1120.tif,labels/006_tile_2016_1120.tif
images/006_tile_2016_1344.tif,labels/006_tile_2016_1344.tif
images/006_tile_2016_1568.tif,labels/006_tile_2016_1568.tif
images/006_tile_2016_1792.tif,labels/006_tile_2016_1792.tif
images/006_tile_2016_2688.tif,labels/006_tile_2016_2688.tif
images/006_tile_2016_2912.tif,labels/006_tile_2016_2912.tif
images/006_tile_2016_3360.tif,labels/006_tile_2016_3360.tif
images/006_tile_2016_3808.tif,labels/006_tile_2016_3808.tif
images/006_tile_2016_4032.tif,labels/006_tile_2016_4032.tif
images/006_tile_2016_4480.tif,labels/006_tile_2016_4480.tif
images/006_tile_2016_896.tif,labels/006_tile_2016_896.tif
images/006_tile_2240_1344.tif,labels/006_tile_2240_1344.tif
images/006_tile_2240_1568.tif,labels/006_tile_2240_1568.tif
images/006_tile_2240_1792.tif,labels/006_tile_2240_1792.tif
images/006_tile_2240_2016.tif,labels/006_tile_2240_2016.tif
